event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best,,,
MZM4211,20-Sep-24,2024,2,Political violence,Riots,Mob violence,Civilians (Mozambique),Labor Group (Mozambique),7,57,Civilian targeting,508,Eastern Africa,Mozambique,Inhambane,Vilankulo,Vilankulo,Pambarra,-21.9954,35.1447,1,O Pais,Regional,"Around 20 September 2024 (as reported), residents set fire to the bar of a man in Pambarra (Vilankulo, Inhambane) accused of leading a group of human organ traffickers and abducting and killing a man who was drinking at his bar and was later found without his genitals and one of his legs in the region, after disappearing for one month. Residents also barricaded National Highway Number 1 in the village on 19 September (coded separately).",0,crowd size=no report,1727134597,4093,,,
MZM4207,19-Sep-24,2024,2,Strategic developments,Strategic developments,Headquarters or base established,Military Forces of Mozambique (1990-),,1,10,,508,Eastern Africa,Mozambique,Cabo Delgado,Quissanga,Quissanga,Quissanga,-12.4341,40.4836,2,Zitamar,National,"Around 19 September 2024 (as reported), Mozambican military forces started the construction of a military base between the towns of Macomia and Quissanga (Quissanga, Cabo Delgado). Quissanga was occupied by Islamist militia in March and Macomia was briefly occupied in May.",0,,1727134597,,,,
MZM4208,19-Sep-24,2024,1,Demonstrations,Riots,Violent demonstration,Rioters (Mozambique),Vigilante Group (Mozambique),5,57,,508,Eastern Africa,Mozambique,Inhambane,Vilankulo,Vilankulo,Pambarra,-21.9954,35.1447,1,O Pais,Regional,"On 19 September 2024, locals barricaded the National Highway Number 1 with tires on fire and tree trunks in Pambarra (Vilankulo, Inhambane), demanding the expulsion of a bar owner accused of killing a man to sell his organs from their community. The road was barricaded for more than three hours. Residents also stoned the car of a group of people accused of being human organ traffickers led by the bar owner and removed four children from the car, suspected of being kidnapped by the group. The vehicle fled. The incident happened during the funeral of the victim, who was abducted while drinking at the perpetrator's bar and was later found without his genitals and one of his legs in the region, after disappearing for one month.",0,crowd size=no report,1727134597,4093,,,
MZM4208,19-Sep-24,2024,1,Demonstrations,Riots,Violent demonstration,Civilians (Mozambique),,7,57,,508,Eastern Africa,Mozambique,Inhambane,Vilankulo,Vilankulo,Pambarra,-21.9954,35.1447,1,O Pais,Regional,"On 19 September 2024, locals barricaded the National Highway Number 1 with tires on fire and tree trunks in Pambarra (Vilankulo, Inhambane), demanding the expulsion of a bar owner accused of killing a man to sell his organs from their community. The road was barricaded for more than three hours. Residents also stoned the car of a group of people accused of being human organ traffickers led by the bar owner and removed four children from the car, suspected of being kidnapped by the group. The vehicle fled. The incident happened during the funeral of the victim, who was abducted while drinking at the perpetrator's bar and was later found without his genitals and one of his legs in the region, after disappearing for one month.",0,crowd size=no report,1727134597,4093,,,
MZM4209,19-Sep-24,2024,2,Political violence,Riots,Mob violence,Rioters (Mozambique),,5,57,Civilian targeting,508,Eastern Africa,Mozambique,Maputo,Boane,Matola Rio,Mulotana,-25.8458,32.3575,1,Miramar,National,"Around 19 September 2024 (as reported), residents tortured and killed a 35-year-old man in Mulotana (Boane, Maputo) for unknown/not reported reasons.",1,crowd size=no report,1727134597,1825,,,
MZM4209,19-Sep-24,2024,2,Political violence,Riots,Mob violence,Civilians (Mozambique),,7,57,Civilian targeting,508,Eastern Africa,Mozambique,Maputo,Boane,Matola Rio,Mulotana,-25.8458,32.3575,1,Miramar,National,"Around 19 September 2024 (as reported), residents tortured and killed a 35-year-old man in Mulotana (Boane, Maputo) for unknown/not reported reasons.",1,crowd size=no report,1727134597,1825,,,
MZM4223,18-Sep-24,2024,2,Political violence,Riots,Mob violence,Rioters (Mozambique),FRELIMO: Liberation Front of Mozambique,5,57,Civilian targeting,508,Eastern Africa,Mozambique,Inhambane,Maxixe,Maxixe,Maxixe,-23.8597,35.3472,1,Carta de Mocambique,National,"Around 18 September 2024 (week of), FRELIMO supporters beat a RENAMO member when caravans met in Maxixe (Maxixe, Inhambane). Extent of injuries unknown/not reported. The incident happened in the context of the upcoming October 2024 general election.",0,crowd size=no report,1728358503,25707,,,
MZM4223,18-Sep-24,2024,2,Political violence,Riots,Mob violence,Civilians (Mozambique),RENAMO: Mozambican National Resistance,7,57,Civilian targeting,508,Eastern Africa,Mozambique,Inhambane,Maxixe,Maxixe,Maxixe,-23.8597,35.3472,1,Carta de Mocambique,National,"Around 18 September 2024 (week of), FRELIMO supporters beat a RENAMO member when caravans met in Maxixe (Maxixe, Inhambane). Extent of injuries unknown/not reported. The incident happened in the context of the upcoming October 2024 general election.",0,crowd size=no report,1728358503,25707,,,
MZM4224,18-Sep-24,2024,2,Political violence,Riots,Mob violence,Rioters (Mozambique),RENAMO: Mozambican National Resistance,5,55,,508,Eastern Africa,Mozambique,Zambezia,Alto Molocue,Alto Molocue,Alto Molocue,-15.6356,37.6883,1,Carta de Mocambique,National,"Around 18 September 2024 (week of), RENAMO and FRELIMO supporters clashed with each other in Alto Molocue (Alto Molocue, Zambezia). One FRELIMO supporter was seriously injured, extent of injuries unknown/not reported. The incident happened in the context of the upcoming October 2024 general election.",0,crowd size=no report,1728358503,18535,,,
MZM4224,18-Sep-24,2024,2,Political violence,Riots,Mob violence,Rioters (Mozambique),FRELIMO: Liberation Front of Mozambique,5,55,,508,Eastern Africa,Mozambique,Zambezia,Alto Molocue,Alto Molocue,Alto Molocue,-15.6356,37.6883,1,Carta de Mocambique,National,"Around 18 September 2024 (week of), RENAMO and FRELIMO supporters clashed with each other in Alto Molocue (Alto Molocue, Zambezia). One FRELIMO supporter was seriously injured, extent of injuries unknown/not reported. The incident happened in the context of the upcoming October 2024 general election.",0,crowd size=no report,1728358503,18535,,,
MZM4203,17-Sep-24,2024,1,Political violence,Battles,Government regains territory,Military Forces of Mozambique (1990-),Military Forces of Rwanda (1994-),1,13,,508,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Quiterajo,Quiterajo,-11.7531,40.4317,1,Carta de Mocambique; Noticias; VOA; Zitamar; Zumbo FM,National-International,"On 17 September 2024, Mozambican and Rwandan military forces destroyed an Islamist militia base in Quiterajo (Macomia, Cabo Delgado). 5 Islamist militia were killed and 1 was captured. Some militia survived and moved to the region of Kunamarrusia, close to Chai.",5,,1727134597,1710,,,
MZM4203,17-Sep-24,2024,1,Political violence,Battles,Government regains territory,Islamist Militia (Mozambique),,3,13,,508,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Quiterajo,Quiterajo,-11.7531,40.4317,1,Carta de Mocambique; Noticias; VOA; Zitamar; Zumbo FM,National-International,"On 17 September 2024, Mozambican and Rwandan military forces destroyed an Islamist militia base in Quiterajo (Macomia, Cabo Delgado). 5 Islamist militia were killed and 1 was captured. Some militia survived and moved to the region of Kunamarrusia, close to Chai.",5,,1727134597,1710,,,
MZM4205,17-Sep-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mozambique),,6,60,,508,Eastern Africa,Mozambique,Maputo,Cidade Da Matola,Cidade Da Matola,Matola,-25.9622,32.4589,1,Carta de Mocambique; Miramar,National,"On 17 September 2024, residents of the Zona Verde neighborhood blocked (means unspecified) the road that connects the Primeiro de Maio neighborhood in Matola (Cidade da Matola, Maputo) against the dust caused by the road rehabilitation works and vehicles. Residents complained against environmental pollution, including the degradation of vegetation, and impacts on their public health.",0,crowd size=no report,1727134597,27123,,,
MZM4206,17-Sep-24,2024,1,Political violence,Riots,Mob violence,Rioters (Mozambique),FRELIMO: Liberation Front of Mozambique,5,57,Civilian targeting,508,Eastern Africa,Mozambique,Sofala,Dondo,Dondo,Dondo,-19.6094,34.7431,1,Carta de Mocambique,National,"On 17 September 2024, FRELIMO members beat a man and a woman supporting MDM near FRELIMO's headquarters in Munhonha neighborhood in Dondo (Dondo, Sofala), who were heading home after the election campaign. They were admitted to a hospital. The incident happened in the context of the upcoming October 2024 general election.",0,crowd size=no report,1727134597,35913,,,
MZM4206,17-Sep-24,2024,1,Political violence,Riots,Mob violence,Civilians (Mozambique),MDM: Mozambique Democratic Movement,7,57,Civilian targeting,508,Eastern Africa,Mozambique,Sofala,Dondo,Dondo,Dondo,-19.6094,34.7431,1,Carta de Mocambique,National,"On 17 September 2024, FRELIMO members beat a man and a woman supporting MDM near FRELIMO's headquarters in Munhonha neighborhood in Dondo (Dondo, Sofala), who were heading home after the election campaign. They were admitted to a hospital. The incident happened in the context of the upcoming October 2024 general election.",0,crowd size=no report,1727134597,35913,,,
MZM4204,17-Sep-24,2024,1,Political violence,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,37,Civilian targeting,508,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Mbau,Mbau,-11.5892,40.1931,1,Cabo Ligado; Telegram,Local partner-Other,"On 17 September 2024, Islamist militia attacked Mbau (Mocimboa da Praia, Cabo Delgado), killing at least one person (fatalities ranging between 1 and 2). The victim was beheaded. An unknown number of women were abducted and then released. The Islamic State claimed the killing of a 'Christian'.",1,,1728335022,2827,,,
MZM4204,17-Sep-24,2024,1,Political violence,Violence against civilians,Attack,Civilians (Mozambique),,7,37,Civilian targeting,508,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa da Praia,Mbau,Mbau,-11.5892,40.1931,1,Cabo Ligado; Telegram,Local partner-Other,"On 17 September 2024, Islamist militia attacked Mbau (Mocimboa da Praia, Cabo Delgado), killing at least one person (fatalities ranging between 1 and 2). The victim was beheaded. An unknown number of women were abducted and then released. The Islamic State claimed the killing of a 'Christian'.",1,,1728335022,2827,,,
MZM4202,14-Sep-24,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Mozambique),Students (Mozambique),6,60,,508,Eastern Africa,Mozambique,Tete,Tete,Tete,Tete,-16.1564,33.5867,1,O Pais,Regional,"On 14 September 2024, more than 100 medical students who attended the Faculty of Health Sciences at the University of Zambeze marched in Tete (Tete, Tete) against alleged lack of contracts for integrated internships. Students marched from the installations of Unizambeze to Independence Square. Students complained about lack of communication and alleged imposition of contracts to access the integrated internships, accusing the institution's management of acting outside the law.",0,crowd size=more than 100,1727134597,19709,,,
